"STUB_1","7/1/22","6/24/22","Difference","Percent Change","7/2/21","Difference","Percent Change"
"Crude Oil","915.828","913.434","2.395","0.300","1,066.780","-150.952","-14.200"
"Commercial (Excluding SPR)","423.800","415.566","8.235","2.000","445.476","-21.676","-4.900"
"Strategic Petroleum Reserve (SPR)","492.028","497.868","-5.840","-1.200","621.304","-129.276","-20.800"
"Total Motor Gasoline","219.112","221.608","-2.497","-1.100","235.497","-16.385","-7.000"
"Reformulated","0.032","0.032","0.000","0.000","0.021","0.011","52.400"
"Conventional","17.589","17.029","0.560","3.300","20.519","-2.930","-14.300"
"Blending Components","201.491","204.548","-3.057","-1.500","214.957","-13.466","-6.300"
"Fuel Ethanol","23.490","22.746","0.745","3.300","21.149","2.341","11.100"
"Kerosene-Type Jet Fuel","39.931","41.417","-1.486","-3.600","45.091","-5.160","-11.400"
"Distillate Fuel Oil","111.135","112.401","-1.266","-1.100","138.692","-27.557","-19.900"
"15 ppm sulfur and Under","100.401","101.988","-1.587","-1.600","126.370","-25.969","-20.600"
"> 15 ppm to 500 ppm sulfur","2.925","2.557","0.367","14.400","3.315","-0.390","-11.800"
"> 500 ppm sulfur","7.810","7.856","-0.046","-0.600","9.007","-1.197","-13.300"
"Residual Fuel Oil","28.442","28.316","0.125","0.400","31.599","-3.157","-10.000"
"Propane/Propylene","54.911","54.003","0.909","1.700","57.971","-3.059","-5.300"
"Other Oils","284.945","284.584","0.361","0.100","292.889","-7.944","-2.700"
"Unfinished Oils","87.996","88.336","-0.340","-0.400","90.695","-2.698","-3.000"
"Total Stocks (Including SPR)","1,677.795","1,678.509","-0.714","0.000","1,889.667","-211.872","-11.200"
"Total Stocks (Excluding SPR)","1,185.767","1,180.641","5.126","0.400","1,268.363","-82.596","-6.500"
"STUB_1","STUB_2","7/1/22","6/24/22","Difference","7/2/21","Difference","7/1/22","7/2/21","Percent Change","7/1/22","7/2/21","Percent Change"
"Crude Oil Supply ","(1)     Domestic Production","12,100","12,100","0","11,300","800","12,050","11,175","7.8","11,781","10,900","8.1"
"Crude Oil Supply ","(2)        Alaska","406","429","-23","438","-32","419","444","-5.7","443","464","-4.6"
"Crude Oil Supply ","(3)        Lower 48","11,700","11,700","0","10,900","800","11,650","10,775","8.1","11,355","10,438","8.8"
"Crude Oil Supply ","(4)     Net Imports (Including SPR)","4,227","2,618","1,609","3,247","980","3,190","3,022","5.5","3,189","3,003","6.2"
"Crude Oil Supply ","(5)        Imports","6,839","5,998","841","5,875","964","6,512","6,492","0.3","6,329","5,971","6.0"
"Crude Oil Supply ","(6)            Commercial Crude Oil","6,839","5,998","841","5,875","964","6,512","6,492","0.3","6,329","5,971","6.0"
"Crude Oil Supply ","(7)            Imports by SPR","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(8)            Imports into SPR by Others","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(9)        Exports","2,612","3,380","-768","2,628","-16","3,322","3,470","-4.3","3,140","2,968","5.8"
"Crude Oil Supply ","(10)   Stock Change (+/build; -/draw)","342","-1,387","1,730","-1,150","1,492","-723","-1,205","– –","-525","-312","– –"
"Crude Oil Supply ","(11)       Commercial Stock Change","1,176","-395","1,571","-981","2,157","252","-1,020","– –","36","-220","– –"
"Crude Oil Supply ","(12)       SPR Stock Change","-834","-993","159","-169","-665","-975","-185","– –","-561","-92","– –"
"Crude Oil Supply ","(13)   Adjustment","453","560","-107","418","35","458","814","– –","276","496","– –"
"Crude Oil Supply ","(14)   Crude Oil Input to Refineries","16,438","16,666","-228","16,115","323","16,422","16,216","1.3","15,771","14,710","7.2"
"Other Supply ","(15)   Production","8,162","8,184","-21","7,354","809","8,170","7,343","11.3","7,873","7,018","12.2"
"Other Supply ","(16)      Natural Gas Plant Liquids","5,909","5,909","0","5,116","793","5,909","5,116","15.5","5,685","5,038","12.8"
"Other Supply ","(17)      Renewable Fuels/Oxygenate Plant","1,222","1,229","-7","1,205","17","1,231","1,188","3.6","1,196","1,027","16.4"
"Other Supply ","(18)           Fuel Ethanol","1,044","1,051","-7","1,067","-23","1,053","1,049","0.3","1,019","961","6.0"
"Other Supply ","(19)          Other","178","178","0","138","40","178","138","28.8","177","67","165.4"
"Other Supply ","(20)      Refinery Processing Gain","1,031","1,046","-14","1,033","-2","1,030","1,039","-0.9","993","953","4.2"
"Other Supply ","(21)   Net Imports","-4,794","-3,765","-1,030","-2,548","-2,246","-4,321","-2,679","– –","-3,501","-2,576","– –"
"Other Supply ","(22)      Imports","2,167","2,346","-179","2,652","-485","1,993","2,676","-25.5","2,100","2,449","-14.3"
"Other Supply ","(23)      Exports","6,961","6,111","850","5,200","1,761","6,313","5,356","17.9","5,600","5,025","11.5"
"Other Supply ","(24)   Stock Change (+/build; -/draw)","-444","1,301","-1,746","-435","-9","468","129","– –","-83","-194","– –"
"Other Supply ","(25)   Adjustment","214","214","0","192","22","214","192","– –","220","196","– –"
"Products Supplied ","(26)   Total","20,464","19,997","467","21,547","-1,083","20,017","20,943","-4.4","20,446","19,543","4.6"
"Products Supplied ","(27)     Finished Motor Gasoline","9,413","8,922","491","10,043","-630","8,983","9,504","-5.5","8,751","8,664","1.0"
"Products Supplied ","(28)     Kerosene-Type Jet Fuel","1,801","1,480","321","1,371","430","1,623","1,412","15.0","1,522","1,214","25.4"
"Products Supplied ","(29)     Distillate Fuel Oil","4,382","3,568","814","3,840","543","3,858","4,073","-5.3","4,036","4,028","0.2"
"Products Supplied ","(30)     Residual Fuel Oil","168","538","-370","178","-10","309","285","8.7","349","242","44.3"
"Products Supplied ","(31)     Propane/Propylene","589","1,116","-527","1,128","-539","835","959","-12.9","1,297","1,281","1.2"
"Products Supplied ","(32)     Other Oils","4,112","4,373","-261","4,988","-876","4,408","4,710","-6.4","4,492","4,115","9.2"
"Net Imports of Crude and Petroleum Products ","(33)   Total","-567","-1,146","579","698","-1,265","-1,131","343","-429.5","-312","427","-173.0"
